Provinsi,DATE,Tmax_C,Tmin_C,Tavg_C,PRCP,Tahun,Triwulan
JAMBI,2023-06-28,31.0,24.77777777777777,27.38888888888889,0.09,2023,II
JAMBI,2023-06-29,32.22222222222222,24.72222222222222,27.22222222222222,0.12,2023,II
JAMBI,2023-06-30,32.22222222222222,25.222222222222225,27.444444444444446,0.08,2023,II
JAMBI,2023-07-01,29.72222222222222,23.77777777777778,26.5,99.99,2023,III
JAMBI,2023-07-02,30.77777777777778,22.88888888888889,27.5,0.0,2023,III
JAMBI,2023-07-03,32.611111111111114,24.88888888888889,28.61111111111111,0.0,2023,III
JAMBI,2023-07-04,32.388888888888886,24.61111111111111,28.444444444444443,0.0,2023,III
JAMBI,2023-07-05,31.61111111111111,24.0,26.722222222222214,0.04,2023,III
JAMBI,2023-07-06,31.22222222222222,23.277777777777786,26.888888888888893,99.99,2023,III
JAMBI,2023-07-07,31.38888888888889,23.22222222222222,27.38888888888889,0.0,2023,III
JAMBI,2023-07-08,33.0,23.61111111111111,27.83333333333333,0.0,2023,III
JAMBI,2023-07-09,31.5,23.000000000000004,26.5,0.0,2023,III
JAMBI,2023-07-10,30.22222222222222,23.277777777777786,26.888888888888893,0.0,2023,III
JAMBI,2023-07-11,28.61111111111111,23.72222222222222,25.055555555555557,0.03,2023,III
JAMBI,2023-07-12,32.611111111111114,23.77777777777778,28.111111111111107,0.03,2023,III
JAMBI,2023-07-13,34.0,23.77777777777778,29.0,0.0,2023,III
JAMBI,2023-07-14,32.111111111111114,23.77777777777778,26.5,0.19,2023,III
JAMBI,2023-07-15,31.38888888888889,23.22222222222222,27.33333333333333,0.0,2023,III
JAMBI,2023-07-16,33.27777777777778,23.000000000000004,28.5,99.99,2023,III
JAMBI,2023-07-17,31.0,24.222222222222214,27.5,0.43,2023,III
JAMBI,2023-07-18,31.72222222222222,24.72222222222222,27.88888888888889,0.0,2023,III
JAMBI,2023-07-19,31.77777777777778,24.388888888888893,27.27777777777777,0.12,2023,III
JAMBI,2023-07-20,29.0,24.388888888888893,25.500000000000004,0.33,2023,III
JAMBI,2023-07-21,32.77777777777778,23.88888888888889,27.61111111111111,0.0,2023,III
JAMBI,2023-07-22,32.388888888888886,24.0,28.166666666666668,0.0,2023,III
JAMBI,2023-07-23,32.611111111111114,22.77777777777778,27.5,1.18,2023,III
JAMBI,2023-07-24,31.27777777777778,22.22222222222222,26.38888888888889,0.0,2023,III
JAMBI,2023-07-25,33.611111111111114,23.000000000000004,28.77777777777778,0.0,2023,III
JAMBI,2023-07-26,33.5,23.277777777777786,29.0,0.0,2023,III
JAMBI,2023-07-27,33.22222222222222,24.61111111111111,28.61111111111111,0.0,2023,III
JAMBI,2023-07-28,31.77777777777778,24.5,27.666666666666668,0.0,2023,III
JAMBI,2023-07-29,32.27777777777778,24.0,28.05555555555556,0.0,2023,III
JAMBI,2023-07-30,32.611111111111114,24.0,27.944444444444443,0.0,2023,III
JAMBI,2023-07-31,33.0,23.72222222222222,28.000000000000004,0.0,2023,III
JAMBI,2023-08-01,32.72222222222222,23.000000000000004,28.38888888888889,0.0,2023,III
JAMBI,2023-08-02,32.388888888888886,23.000000000000004,28.944444444444443,0.0,2023,III
JAMBI,2023-08-03,32.72222222222222,23.77777777777778,26.611111111111114,0.43,2023,III
JAMBI,2023-08-04,33.22222222222222,23.22222222222222,28.666666666666668,0.02,2023,III
JAMBI,2023-08-05,33.22222222222222,23.277777777777786,28.83333333333333,0.0,2023,III
JAMBI,2023-08-06,33.611111111111114,23.61111111111111,28.5,0.0,2023,III
JAMBI,2023-08-07,34.0,23.61111111111111,28.666666666666668,0.0,2023,III
JAMBI,2023-08-08,31.61111111111111,24.222222222222214,27.11111111111111,0.0,2023,III
JAMBI,2023-08-09,33.0,23.88888888888889,27.944444444444443,0.0,2023,III
JAMBI,2023-08-10,33.388888888888886,23.277777777777786,27.83333333333333,0.0,2023,III
JAMBI,2023-08-11,33.22222222222222,23.38888888888889,28.33333333333333,0.0,2023,III
JAMBI,2023-08-13,32.5,25.0,28.77777777777778,0.0,2023,III
JAMBI,2023-08-14,32.0,24.222222222222214,27.83333333333333,0.98,2023,III
JAMBI,2023-08-15,30.88888888888889,24.0,27.27777777777777,0.0,2023,III
JAMBI,2023-08-16,32.0,24.222222222222214,27.5,0.0,2023,III
JAMBI,2023-08-17,32.77777777777778,24.0,28.277777777777786,0.0,2023,III
JAMBI,2023-08-18,31.5,23.77777777777778,26.722222222222214,0.01,2023,III
JAMBI,2023-08-19,31.0,23.77777777777778,26.5,0.2,2023,III
JAMBI,2023-08-20,30.72222222222222,23.72222222222222,26.888888888888893,0.35,2023,III
JAMBI,2023-08-21,32.611111111111114,23.77777777777778,27.444444444444446,0.0,2023,III
JAMBI,2023-08-22,33.0,23.5,28.33333333333333,0.0,2023,III
JAMBI,2023-08-23,32.5,23.22222222222222,28.000000000000004,0.0,2023,III
JAMBI,2023-08-24,32.611111111111114,23.61111111111111,28.000000000000004,0.0,2023,III
JAMBI,2023-08-25,32.388888888888886,24.0,28.166666666666668,0.0,2023,III
JAMBI,2023-08-26,33.72222222222222,24.388888888888893,28.77777777777778,0.0,2023,III
JAMBI,2023-08-27,31.0,24.388888888888893,27.77777777777778,0.28,2023,III
JAMBI,2023-08-28,33.22222222222222,24.61111111111111,27.944444444444443,0.02,2023,III
JAMBI,2023-08-29,31.77777777777778,24.222222222222214,27.61111111111111,0.0,2023,III
JAMBI,2023-08-30,33.22222222222222,24.0,28.22222222222222,0.0,2023,III
JAMBI,2023-08-31,33.388888888888886,23.38888888888889,27.77777777777778,0.0,2023,III
JAMBI,2023-09-01,33.72222222222222,22.722222222222225,28.277777777777786,0.0,2023,III
JAMBI,2023-09-02,34.0,23.000000000000004,29.5,0.0,2023,III
JAMBI,2023-09-04,33.27777777777778,23.111111111111107,28.000000000000004,0.0,2023,III
JAMBI,2023-09-05,33.22222222222222,22.22222222222222,28.000000000000004,0.0,2023,III
JAMBI,2023-09-06,33.77777777777778,22.77777777777778,27.88888888888889,0.0,2023,III
JAMBI,2023-09-07,31.38888888888889,23.61111111111111,28.166666666666668,0.0,2023,III
JAMBI,2023-09-08,33.77777777777778,24.0,29.27777777777778,0.0,2023,III
JAMBI,2023-09-09,34.388888888888886,24.111111111111114,27.5,0.27,2023,III
JAMBI,2023-09-10,31.77777777777778,22.38888888888889,27.0,0.0,2023,III
JAMBI,2023-09-11,34.0,22.61111111111111,28.61111111111111,0.0,2023,III
JAMBI,2023-09-12,33.388888888888886,23.77777777777778,28.277777777777786,0.0,2023,III
JAMBI,2023-09-13,34.111111111111114,23.000000000000004,28.277777777777786,0.0,2023,III
JAMBI,2023-09-14,33.22222222222222,23.22222222222222,28.83333333333333,0.0,2023,III
JAMBI,2023-09-15,34.77777777777778,23.22222222222222,28.83333333333333,0.0,2023,III
JAMBI,2023-09-16,34.0,22.38888888888889,28.33333333333333,0.0,2023,III
JAMBI,2023-09-17,32.72222222222222,23.000000000000004,27.05555555555556,0.28,2023,III
JAMBI,2023-09-18,33.77777777777778,24.388888888888893,28.33333333333333,0.0,2023,III
JAMBI,2023-09-19,32.0,24.72222222222222,27.444444444444446,0.2,2023,III
JAMBI,2023-09-20,34.77777777777778,25.72222222222222,29.166666666666668,0.0,2023,III
JAMBI,2023-09-21,31.0,24.222222222222214,26.38888888888889,1.65,2023,III
JAMBI,2023-09-22,31.77777777777778,23.61111111111111,27.33333333333333,0.0,2023,III
JAMBI,2023-09-23,34.0,24.0,28.944444444444443,0.0,2023,III
JAMBI,2023-09-24,31.5,24.0,27.27777777777777,0.0,2023,III
JAMBI,2023-09-25,34.22222222222222,24.222222222222214,29.166666666666668,0.0,2023,III
JAMBI,2023-09-26,33.77777777777778,23.72222222222222,29.11111111111111,0.0,2023,III
JAMBI,2023-09-27,34.27777777777778,23.61111111111111,28.88888888888889,0.0,2023,III
JAMBI,2023-09-28,33.77777777777778,22.88888888888889,28.33333333333333,0.0,2023,III
JAMBI,2023-09-29,33.77777777777778,22.88888888888889,29.38888888888889,0.0,2023,III
JAMBI,2023-09-30,34.0,24.111111111111114,29.166666666666668,0.0,2023,III
JAMBI,2023-10-01,32.0,24.61111111111111,28.000000000000004,0.0,2023,IV
JAMBI,2023-10-02,33.611111111111114,24.222222222222214,29.22222222222222,0.0,2023,IV
JAMBI,2023-10-03,33.5,24.72222222222222,28.88888888888889,0.0,2023,IV
JAMBI,2023-10-04,34.0,24.222222222222214,29.11111111111111,0.0,2023,IV
JAMBI,2023-10-05,34.388888888888886,24.77777777777777,30.0,0.0,2023,IV
JAMBI,2023-10-06,34.388888888888886,24.77777777777777,29.27777777777778,0.0,2023,IV
JAMBI,2023-10-07,34.77777777777778,24.0,29.0,0.0,2023,IV
JAMBI,2023-10-08,34.0,23.88888888888889,29.22222222222222,0.0,2023,IV
JAMBI,2023-10-09,33.5,24.61111111111111,27.666666666666668,0.12,2023,IV
JAMBI,2023-10-10,34.77777777777778,23.77777777777778,28.944444444444443,0.0,2023,IV
JAMBI,2023-10-11,34.27777777777778,24.72222222222222,29.27777777777778,0.0,2023,IV
JAMBI,2023-10-12,34.611111111111114,25.0,30.0,0.0,2023,IV
JAMBI,2023-10-13,34.388888888888886,24.222222222222214,29.11111111111111,0.0,2023,IV
JAMBI,2023-10-14,34.72222222222222,22.61111111111111,29.11111111111111,0.0,2023,IV
JAMBI,2023-10-15,34.611111111111114,23.72222222222222,29.83333333333333,0.0,2023,IV
JAMBI,2023-10-16,35.27777777777778,24.72222222222222,29.77777777777778,0.0,2023,IV
JAMBI,2023-10-17,35.0,23.61111111111111,29.55555555555556,0.0,2023,IV
JAMBI,2023-10-18,33.77777777777778,24.0,27.444444444444446,0.04,2023,IV
